,slope,area,posArea,negarea,intercept,condition
0,-0.5127997494474509,7.317559678022142,14.370899432612875,-7.053339754590734,0.03045436113879417,Mani
1,-0.45783014742865524,-3.3018866174746555,7.698168126028806,-11.000054743503462,-0.07116059622263393,Mani
2,-0.4593685813426205,-6.8245795864116365,6.207933107925028,-13.032512694336665,-0.10651569250691353,Mani
3,-0.640141635920173,22.79670302228859,26.872909009594764,-4.076205987306174,0.17463696970413187,Mani
4,-0.5462311644005103,1.6707708245277684,11.91865024078229,-10.247879416254523,-0.028798691307744553,Mani
5,-0.40575574762994826,-4.181261027209398,6.263149041004898,-10.444410068214298,-0.07561603339396672,Mani
6,-0.4376298297933927,-6.2015192030729835,6.03719539603442,-12.238714599107405,-0.09847403800806609,Mani
7,-0.32279183362032393,-11.686543250292699,2.00186801830779,-13.68841126860049,-0.14375714998539696,Mani
8,-0.4010460523507856,0.37322557501497344,8.312958865428023,-7.939733290413049,-0.02967880368192552,Mani
9,-0.3997325766477184,-22.653686454857684,0.7325650172927687,-23.386251472150455,-0.25983849860538527,Mani
10,-0.43603198779260877,-24.26126549856923,0.8677525446061765,-25.129018043175407,-0.2789383850933215,Mani
11,-0.4827200250328355,-14.774514771351875,3.788280632699875,-18.56279540405175,-0.18796044805343576,Mani
12,-0.5510068154906185,0.39988293174490264,11.364261653004462,-10.96437872125956,-0.04190542868964145,Mani
13,-0.10596938674981937,-15.10816477821967,0.0,-15.10816477821967,-0.15990993435408882,eYFP
14,-0.2692495430521095,0.7658980052187725,5.844984577678795,-5.079086572460022,-0.014772140843386194,eYFP
15,-0.4178008084589691,4.584259324939547,10.912450646864466,-6.328191321924916,0.01103569872850901,eYFP
16,-0.3019396921411092,5.514982620432136,9.185841167502943,-3.6708585470708077,0.02999529609513266,eYFP
17,-0.33153523907477483,3.211858118694227,8.419367905352852,-5.207509786658625,0.004498452496918815,eYFP
18,-0.3763504267885037,11.192342932405943,14.24801922526254,-3.055676292856596,0.08056975708863455,eYFP
19,-0.44473064190585226,22.599865007514367,23.853054289002525,-1.253189281488161,0.18894823698446783,eYFP
20,-0.28680771775041175,0.1557708254445371,5.889089744659792,-5.733318919215256,-0.022336180358015618,eYFP
21,-0.2818110233402979,2.03050607164738,6.769892457127866,-4.7393863854804845,-0.0031725543709851083,eYFP
22,-0.3510187354744117,14.062734168305006,15.88122088194846,-1.818486713643458,0.11138404714377514,eYFP
23,-0.25344741947946703,-10.323285963936424,1.2706301546071617,-11.593916118543586,-0.12434750905555612,eYFP
24,-0.33333419633707834,5.935443717129695,10.047640138575701,-4.112196421446004,0.03158443774285265,eYFP
