,File name,Holding current,Access resistance,Membrane resistance,Membrane capacitance,Tau decay constant
0,23802001.abf,-42.31736958531535,18.510229877279436,464.8878291041123,31.724065208537574,0.5872197396518332
1,23802014.abf,-23.245115822151785,16.180617796992355,311.15608609035826,39.68222791763981,0.6420829632684695
2,23802024.abf,-83.06032186124197,20.88804768049563,591.7492853107532,39.106386469724015,0.8168560651914843
3,23802032.abf,-39.303622399964425,13.361168994641286,913.4808459805795,57.55786582579384,0.7690403722693199
4,23802048.abf,-19.360234907361995,18.147189033135923,303.83312308871683,41.05191815566097,0.7449769189436043
5,23911017.abf,5.361110244664505,18.60903349148897,347.8435989815315,56.93977459796993,1.0595941724914553
6,23911023.abf,-6.914098369704799,30.39386992680429,550.7851993591878,39.34681784666236,1.1959020636651174
7,23911028.abf,11.526066293485414,34.987514430997685,777.2318496268226,47.50488794534795,1.6620779525307894
8,23911035.abf,13.876044530932452,29.986405421455355,200.2605937769412,70.79715555110774,2.122952209041355
9,23911040.abf,-6.4026993044271805,22.34343355882373,627.1708156270321,34.488051355864194,0.7705814840430523
10,23911045.abf,-1.448605860987612,24.937086202087627,380.85413674502837,46.51057098935382,1.159838118069832
11,23911054.abf,2.5396858386905654,29.406385121893408,1002.6007437862211,52.303219745048274,1.5380486229379091
12,23911061.abf,15.114251816971766,26.41415143538476,613.3406076081013,27.71154257810541,0.7319768821661888
13,23911069.abf,0.9427930779147667,23.663399500914092,540.142370950069,30.516992258077465,0.7221357793691895
14,23911075.abf,-9.722725658541519,16.9526016614006,902.0971624287059,35.736133498666575,0.6058204361215286
15,23916001.abf,-28.538805268467986,22.62308772741942,753.5926719749627,56.73929719106712,1.2836180979456335
16,23916012.abf,-190.57916760736217,28.156533093041965,208.7344951175462,46.50933110869936,1.3095415204973395
17,23916017.abf,10.212518589954161,21.940832442317145,320.0238092143727,62.09571863627115,1.3624317579836953
18,23916024.abf,-47.70720384437638,14.436596504250208,130.9657786768588,56.56569553865927,0.8166161224738899
19,23916030.abf,9.686031562149731,15.299842285566644,647.2933817022164,61.600004182445716,0.9424703487816649
20,23916035.abf,-125.97484655754062,21.896102545634516,261.22474114215953,42.34370743125825,0.927162160077177
21,23916041.abf,5.241964048007652,34.36940227894047,459.03314593945987,47.71109950484191,1.639801972052469
22,23916051.abf,-16.783269290484466,14.811127611018826,540.1135889609757,80.06443765883644,1.1858446032694876
23,23919000.abf,-158.88174641831387,21.91672296736955,227.69378116158987,64.89839985681807,1.4223602506874575
24,23919007.abf,-26.5374712309145,16.0928605347194,-12697.796066914361,58.90602499979264,0.9479664449763573
25,23919013.abf,-97.85216158570523,17.98512096177585,381.1986954735796,59.707225143198244,1.0738416664924046
26,23919017.abf,-29.09396777058814,18.047993800756153,-5113.760784666892,30.738135063052027,0.5547616710647683
27,23919029.abf,-31.144441869947446,20.8606001604959,572.5709426883991,49.922852019416865,1.0414206548486604
28,23919035.abf,-30.899078348775237,16.947504526641804,421.25336196307927,69.9238428523466,1.185034643260334
29,23919039.abf,-161.6382004894856,22.66094490901272,592.4419170476414,73.59921103831513,1.66782766668606
30,23919047.abf,-21.04456207302903,16.561337906454693,328.0143846597372,76.4352245971577,1.2658695825092858
31,23919055.abf,-38.214496068813915,22.641680146076318,683.5829968942755,58.95597367231905,1.334862298589144
32,23919061.abf,-34.97465890309922,14.614589325262923,302.96833981184574,22.62264871358948,0.3306207203987978
33,23919066.abf,-70.83823694592175,24.454119999873676,722.6977750975755,67.67061564744083,1.6548253555078472
34,23921001.abf,-8.243343550462116,23.11909025127894,637.7068653291224,24.596223730376295,0.5686423162632184
35,23921006.abf,19.87001767396254,20.59223214177052,333.7457094070144,60.952609591712594,1.2551502863592543
36,23921011.abf,2.152940787178838,19.018467017051773,394.1515996755915,56.82456476562824,1.0807161107534229
37,23921016.abf,-23.615087146548202,14.80060443638243,989.2087383334748,54.29244777010578,0.8035610433282889
38,23921021.abf,-92.57814033773859,29.546805745047052,283.7778243964053,62.32962027985081,1.841641182571297
39,23921027.abf,-1.4381377719261101,15.664791964395135,826.6887381879002,71.23485939630851,1.1158792530561108
40,23921039.abf,-1.131468058660201,17.15169570020186,537.473459892075,91.98780332368052,1.5777468107377857
41,23921044.abf,35.15315148128391,20.035625196473095,905.7594617015512,52.83103641697232,1.0585028443916782
42,23921049.abf,9.208546794070163,22.548069973618876,1055.2651081881252,33.053870364819026,0.7453009818848665
43,23921054.abf,-18.08672186473239,17.742806770967253,1287.0405129822109,56.15870671256947,0.9964130817085416
44,23o13001.abf,-63.35774056110759,22.6576683149355,545.336078299097,42.35074878761815,0.9595692189190086
45,23o13006.abf,-4.036808238164357,17.24702297972026,695.2838181217472,26.05806968526039,0.44942412666883774
46,23o13014.abf,-52.13231075785683,26.33545435466281,401.8332775063151,44.32123740873867,1.167219924720011
47,23o13019.abf,-21.851709420032805,29.62729188180041,480.1521209693146,24.893893004013645,0.7375386341042214
48,23o13024.abf,-6.582751091325516,25.03016067232797,667.9257873337532,30.867487052538884,0.7726181604760515
49,23o13029.abf,-96.78083286662205,17.763680494389302,338.09497681778794,66.11333016276781,1.1744160734314786
50,23o13034.abf,-13.026130074354205,32.80185328207364,1312.915514361829,38.821318122231574,1.2734111812621465
51,23o13039.abf,-24.326107949125014,30.871749669056122,613.1752996996141,32.31773332581366,0.9977049731058318
52,23o13044.abf,-50.07672076436112,22.555334712565912,427.7563160397532,52.29968289320465,1.1796368530172883
53,23o13051.abf,-44.27494446475441,16.56823789934409,-941.1483601891591,58.17928685801698,0.9639282654778084
54,23o13056.abf,-27.682978358886277,27.53714337060588,1716.8761303895824,30.870537261911593,0.8500864105088906
55,23o16002.abf,-13.067402009075806,38.512597786474906,532.8485367838157,31.621050739888002,1.2178088087310213
56,23o16006.abf,-267.5974997959753,21.942950209429604,214.54714318444815,49.90533770040519,1.095070340344761
57,23o16011.abf,-2.4648076306923397,20.330655284756507,812.7314710511791,45.20272108869615,0.9190009403872749
58,23o16016.abf,-13.18172089493585,23.46402306364526,2356.856701376443,38.346762199593506,0.8997693126673824
59,23o16020.abf,-239.53173963535386,25.410836823070554,191.8185169331628,63.85880900117867,1.6227057752445802
60,23o16025.abf,-20.159907359215637,24.393296607441787,268.5736095158546,42.549169006980655,1.0379144999874483
61,23o16030.abf,4.663238650327563,22.46067241573381,230.10657041308912,69.7542258206625,1.566726815771021
62,23o16035.abf,-18.77291363835447,19.76559639966494,339.8352756788434,55.12983938016281,1.0896741547666522
63,23o19010.abf,-13.568823279206303,25.758484301977877,2983.0232853083394,46.314117195015385,1.1929814607277673
64,23o19015.abf,-53.21589435614475,17.26610591000536,400.04324840122877,59.96266047908829,1.0353216464776311
65,23o19026.abf,-41.638530028071955,18.063128856461752,2333.4593839568674,40.5953177351959,0.7332784552198506
66,23o19030.abf,-27.02154789479334,27.312243304403133,1119.5083467474283,52.19668702171,1.4256086156207246
67,23o19035.abf,-7.419732665618214,20.70657487974104,305.1289934755607,72.30488330447601,1.4971864803150703
68,23o19040.abf,-82.79602062982539,29.382755756687594,-971.3777034936626,44.85491613725308,1.317961045347612
69,23o19045.abf,-19.889449500433948,32.27269771680271,330.8930252577569,32.86455986999939,1.0606280062802553
70,23o19056.abf,-40.04634502024515,19.825178963976146,1879.2416699865978,42.00289502226895,0.8327149108215848
71,23o19061.abf,-15.31148965040992,19.89381290543475,1271.520504132942,66.21096218409929,1.3171884939792864
72,23o19068.abf,-20.78489568213304,23.520812952529806,-3362.7004984840073,40.767910379486736,0.9588943945014059
73,23o19079.abf,-42.81187301042424,24.01808760847832,-5089.581193974833,38.85733454915848,0.9332788654336397
