,File name,Holding current,Access resistance,Membrane resistance,Membrane capacitance,Tau decay constant
0,22n16027.abf,-104.51917390772527,19.550806092114367,373.741580154097,43.377538174046485,0.8480658375940715
1,22n16051.abf,-199.48969810679625,23.273129326983693,288.83259077123154,46.735958178962335,1.0876919989194915
2,22n17019.abf,-175.4015153015845,21.446270604218533,338.52980886042633,44.6582137683017,0.957752137176036
3,22n17028.abf,-105.01726690838427,13.005027507830997,371.98284048498766,48.124680012612494,0.62586278736959
4,23619000.abf,-120.74120326288893,14.502391239002028,365.68480770978977,33.643972315345756,0.48791804935129707
5,23619012.abf,-67.61995437986315,14.417116526447654,350.1853020568013,62.74071809004742,0.904540243657216
6,23619040.abf,-50.845221134591306,17.929337278656924,195.51648009469514,43.70263340280664,0.7835592542444183
7,23619052.abf,-50.84442685349453,14.592867746395191,242.82620852633056,73.93417837800358,1.0789116870085973
8,23619067.abf,-54.53186227864851,15.784353875049195,555.0262876666089,48.45475600847361,0.7648270157669136
9,23619082.abf,-38.727872240106,14.670442551426296,203.16271592913617,63.28708984060941,0.9284496157536151
10,23619094.abf,-40.53319656030255,13.537485416431407,967.4281567431084,49.91062057297018,0.6756642981316251
11,23718001.abf,-112.34004058084281,15.967008869982646,197.043563590212,35.48379299078376,0.5665700374244723
12,23718022.abf,-139.96085563652494,20.93649301047782,252.13170518300404,37.47965149327399,0.7846924615240755
13,23718040.abf,-99.75955232492844,14.718035386996814,297.7526057758111,75.56967863531705,1.1122372043385733
14,23718045.abf,-91.40790557382847,17.569495093123304,327.4278297332953,80.51644651642,1.4146333119859664
15,23718050.abf,-75.67729743246974,16.790681759657126,1157.8628753910523,53.96739493642305,0.9061493537752107
16,23718062.abf,-49.20073306280156,23.778668705511887,447.405606540278,34.29656231542877,0.8155265930365243
17,23718066.abf,-75.54212009002886,15.105059369528888,570.2454149106353,52.58071706222841,0.7942348529173606
18,23718079.abf,-100.83736256036912,22.860209447152567,897.3585207266867,52.81155534353717,1.207283216383149
19,23718084.abf,-42.4927480458989,17.830204561345553,363.7231028146648,52.64950911399161,0.9387515175568975
20,23722000.abf,-62.54421272313718,19.62912268862494,332.1305977604359,39.9736647678941,0.7846479700429573
21,23722006.abf,-65.36846116641054,16.014607226390805,238.40128527066764,50.67283263102724,0.8115055116345407
22,23722019.abf,-44.915067172117766,22.71997222581851,566.5345246142041,35.71057337192957,0.8113432351782938
23,23722034.abf,-77.22802821219472,18.868458638793783,451.5936736464896,44.693172994965146,0.843291286091955
24,23722048.abf,-49.16037377440918,15.517523039623889,868.7888585161936,39.3617768375492,0.6107972789572036
25,23722060.abf,-194.59697815974928,22.908105369835177,303.2964191520803,46.255778432684906,1.0596322462996952
26,23722061.abf,-56.679106426149296,16.99833020497203,1302.5606358897608,55.82230917123795,0.9488860440967413
27,23722067.abf,-52.61981684154536,18.979997382622436,392.4602902014601,35.84450048692238,0.6803285254231953
