,File name,Holding current,Access resistance,Membrane resistance,Membrane capacitance,Tau decay constant
0,23803018.abf,-55.49123962111666,23.748932363768585,211.4610238740399,96.86298281746157,2.3003924274847733
1,23d01000.abf,-115.8346051213434,16.370356114773863,202.5118504347122,140.37869871892926,2.298049288957421
2,23d01005.abf,-74.0187885957887,18.886933224075904,315.22399315986183,98.21013817039774,1.8548883215515701
3,23d01009.abf,-49.17361576873406,16.004188531341025,220.0471924962918,109.39619427016939,1.7507973177109997
4,23d01015.abf,-40.652575885872,23.955190085942256,377.53398238604274,80.09764615079101,1.9187543389787396
5,23d01019.abf,-190.06967391321822,28.925516322450218,107.73359181457494,71.78922390797374,2.0765403679261274
6,23d01024.abf,-37.78870508176625,25.468968307278864,235.08665448442596,106.48332964315031,2.712020547934923
7,23d01028.abf,-17.544122399652817,16.678285903970686,510.41374396054124,109.16616274535467,1.8207044733064186
8,23n16001.abf,-39.33806733472028,26.57714202620931,3467.2068125187425,92.31280050051903,2.45341040973942
9,23n16010.abf,-29.879657978023168,23.529762749126533,2358.4923611806835,102.8054597713013,2.4189880777335917
10,23n16013.abf,-70.78419167801817,21.105815863995414,219.76777977447244,83.65669337690392,1.765642766203659
11,23n16017.abf,-40.12500172092011,21.129333770868868,191.25153835331975,107.34006164945013,2.268023989576873
12,23n16024.abf,-87.89636680959497,27.671681211076574,237.01107237561246,80.47119437750843,2.226773237488991
13,23n16028.abf,-24.232178123425676,32.84327917537597,429.9175949953748,59.74115649429946,1.9620954810021025
14,23n16032.abf,-163.35774783125188,21.803935491998192,145.27025018307717,87.74538855887089,1.9131947918579368
15,23n16037.abf,-60.14511412928268,18.681512286810054,314.98135785155574,113.44431071598034,2.119311284509284
16,23n16041.abf,-91.97208937091415,23.500585563778706,302.1558669759265,96.85146432970143,2.2760661244574094
17,23n16045.abf,-45.166980736230975,27.363532077912236,344.0536509907247,61.30275036086264,1.6774597759637107
18,23n16049.abf,-77.83438540746067,21.228820163258842,330.35585408404205,70.86218575696192,1.5043205978099865
19,23n16054.abf,-40.36966913636854,29.827959420607787,335.15230737512684,57.34968584872315,1.7106241022803186
