,File name,Initial access resistance,Initial seal resistance,Final access resistance,Final membrane resistance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,25d14004.abf,58.80645402986534,1275.067673400587,58.80645402986534,1216.2612193707216,58.80645402986534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25d14010.abf,211.17824286657964,548.8314114198488,76.64581915043789,293.18599275654265,211.17824286657964,207.82502310188738,189.99419748861277,44.04293379594901,54.93286867493733,152.06836857969938,156.413767590612,151.7726864976709,142.87330654604176,141.48513624550574,133.44412953544804,132.99160076544848,131.75658084274272,128.2806263976498,123.9559609830758,121.7168660209992,118.76459163889011,118.49361805841582,113.27184984704601,110.45044843107898,112.1752203781104,107.3728915888668,107.51819361034876,105.99454840355982,103.06659123086304,102.47503093671398,100.41985385215392,45.447913262835065,71.0376839217623,91.95273924412453,88.672619487356,88.63809146781276,86.04174368971196,86.43035169765098,83.67425160342879,81.64778119451117,82.43997468281663,79.70277345244318,83.47214364300578,79.30379266249935,76.38219535874667,76.20046013748313,74.0413606229796,72.09743627034821,76.36625458921735,76.35446572728863,74.60555058648163,78.30488374975917,77.17331990587907,76.64581915043789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25d18014.abf,317.1098756130271,647.604291010854,92.06483732475057,122.14232105971705,317.1098756130271,340.58634941802126,312.0438716466271,314.424529968648,324.3970210477416,315.9013230139351,324.79170853393487,299.9150974297323,303.078441016221,277.9994778177533,265.43510330233534,250.35943135066537,243.1460958877364,239.68902163495522,238.70411522019194,224.10877427946934,209.05838871666552,206.60651572184284,216.09482043935313,199.20828567372774,194.47558012580998,189.94660577608857,182.4729390579336,174.10089754835886,166.94679640775004,156.52144837748952,154.49696957409725,152.7363356843362,147.29468286332806,138.6472269443927,139.73784228958885,135.47217694895514,135.36668402746042,128.2773747687627,125.29695077167769,120.19481404934615,114.39826922345122,114.86264146743615,114.30647499192663,110.86755264056056,104.05955478719046,106.82997185802255,102.05018313395558,100.39031914167624,102.2595688514632,102.7086716547825,99.25426028799728,96.83581412062868,95.77733406649213,93.80853102819938,93.34204426995984,94.11258542577522,94.87935803551548,93.3713015178108,92.36997065446512,92.06483732475057,,,,,,,,,,,,,,,,,,,,,,,,,
3,25d18020.abf,402.01541388292287,1692.9363576333221,128.19045797144312,581.2898050551353,402.01541388292287,349.5728053202958,338.56042208466687,350.78859321522,328.3689591223586,303.62402065547684,290.30108615954714,275.6204914936302,254.62648407219763,241.3192803098752,224.02530949999291,215.87972321304898,215.9220610185083,216.1362625421059,220.95325368382555,215.24126992546314,206.9900190863142,195.54502214822776,184.36326055102072,184.26708943277333,184.42261245340873,173.38649803178836,168.3785166319261,169.39028440643224,160.85281247286716,162.08652768271247,165.33570949595517,155.34875363772704,152.2556126774822,149.82294026605825,145.7509417177488,141.36263432858357,135.40978474955975,137.6792549824592,140.42970168759493,132.00461258793374,134.8237818239496,135.3171562955896,131.4748652821977,133.33360460124635,128.19045797144312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25d18025.abf,301.35789468843836,467.60764118519796,67.3991622206798,273.2767287454648,301.35789468843836,310.41392391363297,312.40347030222136,332.14637226788625,339.97132321968445,340.16733008275673,323.4788986732064,338.3014824951593,316.3400781341071,303.6027110958647,311.90861386019634,301.5020470749607,295.63024476579267,281.7530849256446,281.0577835435642,284.4975407736687,271.44863487153606,239.66522349213616,254.70354898630234,224.17355115707926,207.8031450772635,199.86596513111095,190.81255983728408,178.92585379071784,181.43326632756822,160.4703434345957,146.15062282831875,141.65406890159738,137.31619297476058,122.10534082306705,119.03256976380928,108.48596966825916,111.15246651336051,105.39957303651963,98.43182849407381,90.54088424634757,82.90452753521143,77.56962399279982,72.7621793880387,70.50956111628376,67.3991622206798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,25d18029.abf,654.8916705940665,1187.1383085144876,131.3772418837928,210.10128651913686,654.8916705940665,115.47841801474598,105.11497190641342,429.6811836885257,91.14121213806914,94.67664198119425,76.5609623204551,90.74526640879168,81.21943163996055,520.670330476814,69.48680428240424,392.15539612341445,68.89939275681675,65.74861788050195,528.8433508556,536.1676522027965,322.6673823814161,429.2970544045551,307.26561801303427,462.8970638340214,542.6542413286152,329.22827828570814,291.44989943275203,351.92520515399985,252.64622011786508,218.80913522129777,195.29574927191717,458.96377736096883,720.739793163703,566.6743334641877,176.65555448706954,697.876930719454,163.80517092553197,232.0432560127267,217.55400135074953,568.6349282373453,415.25213303737786,144.12330177740563,208.47979874777238,195.39922133696524,189.34212380491977,133.06512934642842,177.0858918996769,784.1715470983343,177.50067372577803,427.29596150841616,152.5284696264442,328.9939813995861,141.53008237709034,131.3772418837928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,25d21003.abf,377.42615959336956,916.7874389377264,26.43850119646159,214.27386577970867,377.42615959336956,364.65899777895817,339.06824268347964,300.7066164999541,262.11731645718464,247.57182344339253,207.13870930705835,142.62580248232794,167.51295179849063,158.0636908448247,149.10380956866237,95.84449838524922,79.38009494700445,66.23400708365105,65.0580897782976,61.530563375137675,59.422710399518344,57.54678046767297,54.03928749212635,52.296464841647506,50.54226741329416,48.97382953511404,46.525307897567366,46.35382034598584,43.53888141826631,42.49497148889318,41.83497857693663,40.25214094391319,39.08669210737007,37.24017229034787,24.796442231168253,27.144021949149195,28.825864175533045,33.710689080516474,34.27107090925958,33.60383835249307,32.55965402982853,31.82950389471397,31.275173422211022,22.5615947786653,26.43850119646159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,25d21017.abf,44.83315902472555,358.17059243509726,59.4700868258186,-4842.852402367034,44.83315902472555,97.6065281514617,46.31175778475802,95.7996370238057,46.5318320872256,93.94051700109635,89.29040383620655,95.27430797068237,86.42295462036624,38.68341342402277,88.55251711773015,82.80582567084203,86.92278665944255,83.28816955578222,79.68070331448916,83.11451136806795,72.9863437935659,85.38534279083015,71.82704342546258,73.32545881277784,81.5503120479088,73.79441405021501,76.41029258393665,68.05891682306427,60.92033431818233,73.42246891566298,67.38919615535258,83.59476894916594,65.81826161493565,64.54692170002188,83.08682462874728,65.75729961612811,63.90627495729407,62.506753936024616,63.00741175443569,61.41077422872721,60.47167835297353,62.14507864193431,61.16628660179634,62.311148804758524,59.4700868258186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25d21026.abf,155.77683523157827,269.4423305182826,62.16081683198368,35.17513575179083,155.77683523157827,160.62304172042337,168.85577641038216,175.5129259206689,145.40787912970046,157.515837569003,151.79370823695578,152.95035531504587,64.5484347674322,62.244545766590164,59.54788277273827,58.90130938933751,60.31473438821536,57.80416158916285,63.13140678633723,62.20464279598935,62.83563843812172,62.69738828487973,62.26928482202335,62.64073280175626,62.16081683198368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,25n05019.abf,13256.266719258056,1345.365343822103,671.1665597529212,-1118.6360418576583,13256.266719258056,2649.22507256102,685.9409629821519,395.1650528318298,275.4182218722901,12903.835551705128,970.3804170787902,11450.636427966137,3521.9686394531313,1765.4340110582073,2744.2823089976623,3071.7600187485355,1132.0673235959928,2799.6249281788723,59202.78235732514,2878.1240547619136,1574.3249735754782,2424.591086568161,54244.35868519342,11954.59748361706,2462.83409968858,31103.385677758462,2109.43227090832,1520.877406512524,1033.1518691155995,1063.2865696916845,742.1476770373432,700.9738585449708,1041.892675245371,1566.5487719356956,2002.676917999523,3976.6028866679208,3385.131343503541,758.7932956624774,654.3847213708868,625.851866795429,710.2932834630916,596.0177192859402,602.9332921785239,646.5678092873583,671.1665597529212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
