,File name,Holding current,Access resistance,Membrane resistance,Membrane capacitance,Tau decay constant
0,24318009.abf,-21.792170954543096,41.28249602588997,972.5970155426007,30.634902087706177,1.2646852236892585
1,24318016.abf,-261.32378442428745,37.159864835201326,149.0629785179783,40.64433458877254,1.5103379796354854
2,24318022.abf,-26.445103503454813,29.03993459589576,505.3628911417025,40.08017302578405,1.1639256032609544
3,24321000.abf,-50.62644962204328,22.365422848708842,558.3627397386917,53.48551159608106,1.196226083125873
4,24321005.abf,-71.81187677523978,31.396207625705724,390.20121933346707,37.15701157091089,1.1665892500310682
5,24321010.abf,-69.87573990066734,19.89068601871988,-6502.055900418944,84.74821652179844,1.6857001654815813
6,24321014.abf,-54.38714541402047,23.39404796054018,1165.3870688766033,56.561350553241525,1.323198947555458
7,24321019.abf,-34.06672315458476,29.09195311427766,944.7378482206361,28.43930226706786,0.8273548481563084
8,24321023.abf,-40.184266948969096,23.050870634113682,842.4491578326306,39.04713573758844,0.9000704745198281
9,24321027.abf,-148.9260248020922,16.84902014100735,410.47092150954995,66.67573303567713,1.123420768834553
10,24321032.abf,-60.52712099428796,14.691510953643437,13559.720053094956,59.01367892864028,0.8670001103949155
11,24321037.abf,-60.149766935992666,16.35784860444933,1049.0824359744624,65.67740881036829,1.074341110052531
12,24321047.abf,-67.72025161377125,22.9455252616697,569.9032391302595,35.22578246523486,0.8082740814181281
13,24321051.abf,-69.59006311841877,23.391256189479524,1155.2826566623612,41.30270378232292,0.9661221254905002
