,File name,Latency,ECl,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20
0,23802012.abf,5.5,-47.838843087450044,-163.02487182617188,-150.32470703125,-91.56249237060547,-71.29638671875,-83.47655487060547,-91.22069549560547,-71.79442596435547,-55.136714935302734,-36.115718841552734,-22.9052734375,-21.7822265625,-20.88134765625,27.429229736328125,25.5126953125,-30.68353271484375,48.9892578125,24.9830322265625,32.03369140625
1,23911021.abf,4.0,-58.38032393521296,-164.00518798828125,-114.2137451171875,-108.4522705078125,-76.12310791015625,-70.77996826171875,-70.56640625,-32.139923095703125,-39.33595275878906,-17.02392578125,-21.7529296875,45.399169921875,52.863739013671875,82.11920166015625,86.61871337890625,111.175537109375,93.2899169921875,73.7318115234375,
2,23911026.abf,4.9,-72.02612393951571,-111.90673065185547,-89.25170135498047,-83.81834411621094,-53.42162322998047,-59.29686737060547,-26.313474655151367,-20.427242279052734,13.917232513427734,43.54003143310547,48.16649627685547,82.791748046875,114.08323669433594,165.92041015625,138.28121948242188,96.01556396484375,108.2203369140625,78.2958984375,
3,23911033.abf,5.6,-66.75636935975503,-91.63329315185547,-76.585693359375,-90.88256072998047,-89.52635192871094,-48.785396575927734,-62.408443450927734,-28.728025436401367,-24.027097702026367,13.01025390625,28.457027435302734,42.17650604248047,,,,,,,
4,23911038.abf,3.9,-85.87685035479284,-122.82592010498047,-85.93871307373047,-56.047359466552734,-30.668943405151367,6.522216320037842,38.30322265625,63.005367279052734,102.75267791748047,131.2744140625,183.22994995117188,258.0712585449219,204.72412109375,153.44479370117188,-1977.670654296875,,,,
5,23911043.abf,4.0,-72.80987165976966,-106.31346893310547,-95.05126190185547,-87.68675231933594,-74.168701171875,-56.59545135498047,-33.61083984375,-15.003661155700684,19.249265670776367,47.575679779052734,65.91551971435547,115.62986755371094,132.271728515625,591.4281616210938,-927.2741088867188,,,,
6,23911049.abf,4.2,-71.68038239124296,-110.52733612060547,-137.2705078125,-106.39403533935547,-98.42283630371094,-69.183349609375,-44.99633026123047,-26.196287155151367,13.260497093200684,49.85961151123047,81.873779296875,121.15599060058594,217.75875854492188,252.64767456054688,213.67918395996094,207.935791015625,206.4451904296875,182.6158447265625,
7,23911064.abf,4.4,-82.76798041675627,-34.542232513427734,-22.779539108276367,-17.340087890625,-12.930907249450684,-7.508543968200684,9.3115234375,13.145750045776367,22.493896484375,33.585201263427734,42.568355560302734,55.152587890625,95.08910369873047,71.27073669433594,83.87576293945312,48.04443359375,47.85528564453125,,
8,23911072.abf,3.8,-71.66057233901296,-108.00170135498047,-86.70164489746094,-61.49291229248047,-66.51854705810547,-52.910152435302734,-36.458736419677734,-18.50463104248047,9.20166015625,20.386978149414062,34.00633239746094,26.149887084960938,74.840087890625,95.84603881835938,90.760498046875,82.88934326171875,86.91534423828125,78.145751953125,67.8905029296875
