,frame,speed,heading,angular_velocity,XCor,YCor
0,0,,-3.124403857335893,,15.104892,11.269559999999998
1,1,0.0,-3.152708653394872,-0.28304796058979065,15.104892,11.269559999999998
2,2,0.3600524999999877,-3.190130059263651,-0.37421405868778734,15.140897249999998,11.269559999999998
3,3,13.582312499999993,-3.311908389652987,-1.2177833038933628,15.140897249999998,9.91132875
4,4,3.2590378794922934,-3.3626348297009088,-0.5072644004792171,15.238040625,9.600239625
5,5,4.448356340917185,-3.34174426738189,0.2089056231901898,15.556006499999999,9.2891505
6,6,3.0230229159798077,-3.336142869842627,0.05601397539262809,15.724299124999998,9.038024499999999
7,7,3.023022915979811,-3.331472872419091,0.04669997423536021,15.892591750000001,8.7868985
8,8,3.0230229159798077,-3.320841394065119,0.10631478353972046,16.060884375,8.5357725
9,9,3.0230229159798077,-3.311436213642994,0.09405180422124904,16.229177,8.2846465
10,10,3.023022915979811,-3.303201180360914,0.08235033282080195,16.397469625,8.0335205
11,11,3.0230229159798077,-3.2960627251267987,0.0713845523411516,16.56576225,7.7823945
12,12,8.127648873079869,-3.2196175049573097,0.7644522016948896,16.939399124999998,7.060603499999999
13,13,8.12764887307988,-3.246513673055107,-0.2689616809779727,17.313036,6.3388124999999995
14,14,5.6977861485883485,-3.290454700443585,-0.4394102738847794,17.78001075,6.012343124999999
15,15,5.195123385178908,-3.495760777717513,-2.053060772739279,18.246985499999997,5.784686249999999
16,16,5.3733700000000155,-3.6588853036344315,-1.6312452591691873,18.784322500000002,5.784686249999999
17,17,5.396035851512332,-3.6952993133485283,-0.36414009714096807,19.321659500000003,5.7352799999999995
18,18,5.373369999999994,-3.667969096601175,0.27330216747353475,19.8589965,5.7352799999999995
19,19,13.728778767325068,-3.379789370206436,2.88179726394739,21.1950345,5.41937475
20,20,8.348505000000017,-3.412373907115139,-0.3258453690870322,22.029885,5.41937475
21,21,4.186698750000005,-3.6214199955633637,-2.090460884482246,22.448554875000003,5.41937475
22,22,4.432654650731661,-3.8131828902767815,-1.9176289471341779,22.79169525,5.699979375
23,23,0.9548043749999984,-3.9850233188618005,-1.7184042858501902,22.79169525,5.7954598125
24,24,0.0,-4.025744257686782,-0.4072093882498118,22.79169525,5.7954598125
25,25,0.20238562499999802,-4.074415668771106,-0.4867141108432449,22.79169525,5.7752212499999995
26,26,0.20238562499999802,-4.025618735473823,0.48796933297283296,22.79169525,5.7954598125
27,27,2.2945197046754653,-3.9417103747328017,0.8390836074102115,23.000337749999996,5.890940249999999
28,28,2.2302423408637426,-3.8954481563953935,0.4626221833740818,23.219055,5.93455875
29,29,9.128124392234161,-3.679145729818883,2.1630242657651033,23.998635,6.40940775
30,30,11.316239202379013,-3.6226396662200826,0.5650606359880062,24.992691,6.9501714375
31,31,11.316239202379013,-3.5721164639308207,0.5052320228926188,25.986746999999998,7.490935125
32,32,8.262034119852935,-3.5963045473726107,-0.2418808344179002,26.529927999999998,8.113483500000001
33,33,8.26203411985293,-3.350517674164817,2.457868732077939,27.073109,8.736031875
34,34,8.262034119852935,-3.103207439287738,2.473102348770788,27.61629,9.35858025
35,35,10.410729005738519,-3.147113743097174,-0.43906303809436054,28.602873,9.69097575
36,36,15.597845200141027,-3.180330932814439,-0.3321718971726506,30.02797275,10.325025
37,37,15.597845200141027,-3.160716981229033,0.1961395158540613,31.453072499999998,10.95907425
38,38,7.959847500000009,-3.1691896293144155,-0.08472648085382506,32.24905725,10.95907425
39,39,4.955564999999993,-3.0247387786739726,1.4445085064044294,32.74461375,10.95907425
40,40,5.166168548339273,-2.858860098190664,1.6587868048330856,33.24017025,10.81307175
41,41,3.840097507441233,-3.1260019460728277,-2.6714184788216366,33.60675225,10.698699
42,42,1.293440901254898,-3.0482539378894375,0.7774800818339012,33.68705175,10.597299375
43,43,1.2934409012548715,-2.9361984634384037,1.120554744510338,33.76735125,10.495899750000001
44,44,2.2608063887032834,-2.9875061061379893,-0.5130764269958554,33.842739375,10.282758750000001
45,45,2.211838484550586,-3.088008904830492,-1.005027986925029,33.90184275,10.06961775
46,46,1.0323698059713189,-3.1969947125874567,-1.0898580775696454,33.9181275,9.967673249999999
47,47,6.233861250000018,-3.1965253050452436,0.004694075422131405,34.541513625,9.967673249999999
48,48,6.396708750000016,-3.204687059311323,-0.08161754266079235,35.1811845,9.967673249999999
49,49,5.878894793236676,-3.1574229340150306,0.47264125296292203,35.679727875,10.2792315
50,50,6.0655731265846065,-3.1964631105833283,-0.39040176568297724,36.17827125,10.624725750000001
51,51,3.7222755663381166,-3.2905679349717314,-0.9410482438840306,36.3264645,10.966181624999999
52,52,3.7222755663381166,-3.3496666041043994,-0.5909866913266804,36.47465775,11.307637499999998
53,53,6.199989956592805,-3.3360640821735057,0.1360252193089373,36.716983875000004,11.878318499999999
54,54,6.199989956592789,-3.331805110659186,0.04258971514319754,36.959309999999995,12.4489995
55,55,10.531105425705542,-3.17536634851821,1.5643876214097574,37.662578999999994,13.232871
56,56,11.281216874793584,-3.191662277602601,-0.16295929084390703,38.667612,13.745284125
57,57,6.128849956525395,-3.299116032994275,-1.0745375539167412,39.247245,13.944416249999998
58,58,0.0,-3.3041755238080563,-0.0505949081378132,39.247245,13.944416249999998
59,59,0.0,-3.3041755238080563,0.0,39.247245,13.944416249999998
60,60,7.1677836690783865,-3.3085189814300433,-0.04343457621986957,38.667027,13.523561999999998
61,61,5.993028994332708,-3.2142901162761777,0.9422886515386564,38.58767475,12.929535749999998
62,62,5.940262499999989,-3.009014949603758,2.0527516667241974,38.58767475,12.335509499999999
63,63,4.057283634974603,-3.0105069423988926,-0.014919927951346779,38.5485225,11.931674625000001
