,Pre Speed,Speed change,Pre Distance,Distance change
0,0.9827745635022831,0.6973741302582028,11.062431373156615,2.1821153985768458
1,1.1090986404979972,0.9902424026693177,11.318637040267932,-1.3212336873349955
2,0.8355154445879837,2.29382445978059,4.789773856359691,8.197252135744357
3,1.8692049779397006,1.2810468600097353,12.63856418019588,0.5562343009336086
4,0.712230173777938,3.4490287457633855,10.08417643348465,-2.7829472395872124
5,0.710940059769937,0.8623638108522133,5.523692670280526,-0.7044862943037105
6,0.9678005731691803,2.5044457533256863,7.733659012159778,2.7005486084319568
7,0.7288713438291863,0.3831767758477619,7.921349017885722,-1.00472580567701
8,0.8167855829998324,1.358019380053482,3.586785660534076,-0.7037895728572003
9,5.648168424297108,0.3268431755171756,11.613863786057507,-7.09261588237424
10,1.080878393071923,0.4973983101394033,7.977356910748247,0.33180989796695926
11,0.18208233239282223,2.9962521088065106,11.342674621302722,-0.10532613061142193
12,2.4846461350659217,0.6369891239999463,12.160218814079549,-4.188978166121273
13,0.7031402823033218,0.6090985712616866,11.724249353980229,0.32482988281341996
14,0.4444004260891859,1.9920279308392463,11.95736519735083,-0.7074399193767569
15,0.6715740049021128,1.9908386077318834,10.330094658608909,0.06195547691958048
16,0.8366126976343081,1.2130438982596057,12.556841372230705,-4.99334960589035
17,0.8375949014671181,0.5228188674320422,6.786592971003672,-0.48509230103597023
18,2.3686770351764297,0.29966263813954835,12.43989637073217,-1.9263881314103717
19,1.6832889426298125,2.53834304867636,12.992463788060839,-3.95984465463515
20,0.5660648981592963,0.8471351392755054,14.546069065602872,-0.039805143141459
21,0.0786897223048798,4.612459179623806,14.765277819968906,-0.011512094617019741
22,0.1545932024772897,1.7108430290857577,14.449726670280596,0.04273701666033958
23,1.8517229413623042,0.6500485165193632,13.919724107243331,-0.2769815968894509
24,3.049765226998316,0.921873842944782,11.992497148070113,0.5708071523044627
25,2.947403329856726,1.5261014811526683,13.392151213942212,-0.35634675923881787
26,4.59666240638276,0.6959762889103613,8.771725994733444,4.92832255898956
27,3.5415396591643944,0.9004560671758856,13.453315132953328,-0.9180629590280525
28,2.7234518642385837,1.3491800628923405,8.693339630591705,-0.2752612132802561
