,slope,area,posArea,negarea,intercept,condition
0,-0.3563344053822045,85.84584442669909,102.5937453238956,-16.7479008971965,4.169781615159756,Mani
1,-0.32322644434404596,78.10068854330363,93.22550647417316,-15.124817930869533,3.7846663649427628,Mani
2,-0.44960231062424844,107.56313281057975,128.9128197573337,-21.34968694675393,5.25366894212776,Mani
3,-0.2364482327655968,57.88989948231175,68.73628885808293,-10.84638937577118,2.776151070534322,Mani
4,-0.09939821372424701,25.93455062528041,30.051975228374648,-4.117424603094248,1.183027315471914,Mani
5,-0.30027789823809076,72.76407122532217,86.75461503549418,-13.990543810172035,3.5180453072747566,Mani
6,-0.3065964382841089,74.24887078780193,88.54724201923595,-14.298371231434004,3.591609856071432,Mani
7,-0.19751726268354974,48.786448904980396,57.72713276856624,-8.94068386358584,2.323341161233125,Mani
8,-0.11314300000948785,8.7749782138178,20.741600593062792,-11.966622379244995,1.1391583239372345,eYFP
9,-0.24737444752081356,40.0689201337829,57.99358553635998,-17.924665402577077,2.699475755737087,eYFP
10,-0.3378926250159147,61.15409545202623,83.39766470417278,-22.243569252146536,3.751489445570057,eYFP
11,-0.3222025508424188,57.48081272329983,78.97491938375924,-21.494106660459416,3.568952830102428,eYFP
12,-0.12869428299143526,12.436060001600408,25.006808343418275,-12.570748341817866,1.3202831794646075,eYFP
13,-0.09163264646977642,3.800892679449335,14.97156742231899,-11.170674742869654,0.8895273344546846,eYFP
14,-0.28031017232472144,47.74158057523284,67.22716284215248,-19.485582266919625,3.082265504899984,eYFP
15,-0.11703483447241964,9.70961701087168,21.81575638378969,-12.106139372918008,1.1846705197549339,eYFP
16,-0.11440727195875061,9.074585365334457,21.08825557743409,-12.013670212099631,1.1539029466354203,eYFP
17,-0.0823836441231297,1.6296216784550277,12.518603681311113,-10.888982002856082,0.7818660454821154,eYFP
18,-0.15707263534191687,19.026092670548874,32.81514738998239,-13.789054719433521,1.6498961711972466,eYFP
