,slope,area,posArea,negarea,intercept,condition
0,-0.40751662964670754,0.8699022697399954,7.693980067945663,-6.824077798205668,0.010070009945104371,Mani
1,-0.2593663150262913,3.1354427951136765,6.316738915406056,-3.18129612029238,0.03222700071140278,Mani
2,-0.40495299861600803,0.9091021614468137,7.668803084177095,-6.759700922730281,0.010453384170085876,Mani
3,-0.4090220231349588,0.8468786822940537,7.7090212384454135,-6.86214255615136,0.00984483858856896,Mani
4,-0.24377592150394367,3.373855676138525,6.189632001430869,-2.815776325292345,0.03455867956218738,Mani
5,-0.4329821522216119,0.48047219882108216,7.948440438817705,-7.4679682399966225,0.00626138158439485,Mani
6,-0.35559226703501784,1.6639363096871327,7.18815117974073,-5.524214870053599,0.01783566388074353,Mani
7,-0.7180547056516546,-3.878912027182975,10.914284604741988,-14.793196631924964,-0.03637340573901171,Mani
8,-0.36760274952892075,0.7779962191555605,6.936980400095001,-6.158984180939439,0.00901666922425303,eYFP
9,-0.3732177889767757,0.6921315018043246,6.993089338186883,-6.300957836382558,0.00817691243929988,eYFP
10,-0.2503592517427831,2.570905552351422,5.834125321298736,-3.2632197689473155,0.02655132628380625,eYFP
11,-0.42109975828555063,-0.04008976521530899,7.474947184246734,-7.515036949462043,0.0010157866169561557,eYFP
12,-0.340398557811836,1.194006392995361,6.66981207595407,-5.475805682958709,0.013085249298957057,eYFP
13,-0.40697488584361713,0.17590920410859667,7.331543516058066,-7.155634311949469,0.0031282567279633617,eYFP
14,-0.29524690348685984,1.8844749572544466,6.238970247988042,-4.3544952907335945,0.019838033552036602,eYFP
15,-0.2738278557147922,2.2120178786118885,6.042304236266737,-3.830286357654849,0.02304140376429141,eYFP
16,-0.41538465237434313,0.047306720826488124,7.41692446299986,-7.36961774217337,0.001870524440356425,eYFP
17,-0.382191506927716,0.5548987260108138,7.082756476879549,-6.527857750868735,0.0068347744993506165,eYFP
18,-0.4284410696050282,-0.15235516858770276,7.549479649227485,-7.701834817815187,-8.216942049420715e-05,eYFP
