,File name,Latency,0 amplitude,1 amplitude,2 amplitude,3 amplitude,4 amplitude,0 normalized amplitude,1 normalized amplitude,2 normalized amplitude,3 normalized amplitude,4 normalized amplitude,0 success rate,1 success rate,2 success rate,3 success rate,4 success rate,Train tau,Train charge
0,22n16039.abf,8.4,35.70841064453125,15.678303995768236,5.784912109374993,4.066162109374986,1.131591796874993,1.0,0.4390647388886061,0.16200418906801592,0.11387127110900186,0.031689783343753955,0.8666666666666667,0.7333333333333333,0.2,0.06666666666666667,0.06666666666666667,522.72425966132,20.921592698771157
1,22n16066.abf,5.9,229.53815342203777,-2.8503417968750284,-2.731117960611982,-2.038331095377629,-1.0935872395833428,1.0,-0.01241772556928381,-0.011898318078696235,-0.008880140686807191,-0.0047642939671673264,1.0,0.9333333333333333,0.2,0.0,0.0,441.2720400813138,78.6891434266154
2,22n17038.abf,5.7,115.97981770833334,0.2867024739583286,0.4523925781249858,-1.0835774739583286,-0.5982259114583428,1.0,0.002472003143506653,0.0039006146678266474,-0.00934281063178867,-0.005158017345420946,1.0,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,342.4204785083093,32.99729881571452
3,23619024.abf,8.0,185.55751961263022,138.58884126790366,81.26179935709632,16.635332051595014,4.524332682291629,1.0,0.7468780653956878,0.437933205438068,0.08965054117086134,0.024382373140881725,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,339.82783584325284,154.96801268625893
4,23619051.abf,5.6,196.53587544759114,180.6438676147461,102.17105102539068,37.60286051432291,3.0947151692708417,1.0,0.9191394049729977,0.519859546216212,0.1913282266084301,0.0157463117724585,1.0,1.0,1.0,1.0,1.0,315.33370416888357,187.76030567988076
5,23619064.abf,7.6,98.93040975952148,64.96637670898436,1.2246067810058605,-2.053465698242178,-2.863602579752609,1.0,0.6566876339328183,0.012378466681605948,-0.020756668280599574,-0.02894562538165373,1.0,1.0,0.7333333333333333,0.26666666666666666,0.06666666666666667,767.739397383045,79.58346007843016
6,23619081.abf,7.6,43.317542775472006,11.163004557291671,5.698403422037757,-0.15104096476236606,-0.3544921874999929,1.0,0.2577017033295937,0.13154955375872343,-0.003486831317862541,-0.008183571015037342,0.8,0.6,0.3333333333333333,0.26666666666666666,0.06666666666666667,231.02672536344244,13.87127104487101
7,23619105.abf,6.9,158.70652872721354,81.41437214152015,38.31144165039066,6.853352864583371,-2.126220703125057,1.0,0.5129869123497498,0.2413980190836432,0.04318255159094927,-0.013397184855448685,1.0,1.0,1.0,0.9333333333333333,0.26666666666666666,286.6608647796737,97.63109138575236
8,23718019.abf,7.8,81.81778361002604,21.890296773274727,4.752358154296886,-0.20385717773439183,1.169190348307282,1.0,0.2675493738331023,0.058084660138783405,-0.002491599854452803,0.014290173807201595,1.0,0.8666666666666667,0.3333333333333333,0.13333333333333333,0.2,298.3042595839506,35.00721885691325
9,23718038.abf,5.9,198.0077168477376,-1.2652180989583428,-1.8782554321289524,-2.170166320800803,0.36954756673176803,1.0,-0.006389741365137098,-0.009485768847954943,-0.010960008808493054,0.001866329113909938,1.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.2,343.6073208200356,63.762609102325435
10,23718061.abf,7.8,44.146888224283856,80.5756719563802,61.936845743815084,18.455729125976575,7.631267354329452,1.0,1.8251721740165139,1.4029719474032036,0.4180527749139211,0.17286082125561286,0.9333333333333333,1.0,1.0,0.9333333333333333,0.9333333333333333,247.83497826895467,56.76519223948161
11,23718078.abf,6.9,84.36123962402344,15.316973693847658,7.650552408854182,3.5327137654622476,-1.6171853230794397,1.0,0.18156411359187594,0.09068800367266704,0.04187602957479825,-0.01916976718557981,0.9333333333333333,0.8666666666666667,0.5333333333333333,0.3333333333333333,0.13333333333333333,315.427617709055,33.63073413808187
12,23722016.abf,7.9,131.51195354207357,123.9292784016927,82.78075665283205,27.71304683430992,0.5203383789062741,1.0,0.9423423123438357,0.6294542391262454,0.21072644796082288,0.003956586187732406,1.0,1.0,1.0,0.9333333333333333,0.7333333333333333,392.9154729465236,161.78391243387858
13,23722030.abf,9.5,73.94115447998047,63.832265238443995,39.857087575276665,25.03946258544923,24.488687561035192,1.0,0.8632846712682387,0.5390379397723355,0.33864040616553603,0.3311915770488205,1.0,1.0,1.0,0.8666666666666667,0.7333333333333333,274.30116022768834,66.58939339594522
14,23722045.abf,8.4,36.15087890625,16.54744466145833,10.939534505208336,3.0337717692057353,0.2622884114583428,1.0,0.45773284528906705,0.3026077051564309,0.08391972369671037,0.007255381318350096,0.9333333333333333,0.7333333333333333,0.4666666666666667,0.3333333333333333,0.13333333333333333,574.1480493878825,35.27982198740642
15,23722057.abf,7.6,26.146321614583332,21.863765970865884,3.0376794535318936,-0.9187822570800677,1.5499676106770863,1.0,0.8362081019714522,0.11617999267008183,-0.035140019717634356,0.05928052264960203,0.8,0.6,0.2,0.06666666666666667,0.06666666666666667,260.1143970656875,12.773084463500977
16,23722076.abf,6.3,85.36685892740886,70.98648173014321,-0.8291825968424291,10.671466227213557,-2.8830563354492256,1.0,0.8315461365458707,-0.009713167466399567,0.12500713229109164,-0.03377254793807997,1.0,0.9333333333333333,0.4,0.4,0.5333333333333333,242.4987681441035,44.213941713765465
