,GCaMP,Speed,Heading,Angular Velocity
0,0.8569080043526943,11.86642821434072,-2.924450513067767,-0.9196321669261563
1,0.7870053989094206,18.94017383267962,-3.04961049906386,-1.251599859960928
2,-0.26057103228386136,18.940173832679577,-2.933522497696908,1.160880013669523
3,-1.0276671818826173,20.0,-3.059675870964521,-1.2615337326761322
4,-1.010456708131678,20.0,-3.165012653189619,-1.0533678222509837
5,-0.5698027316041094,20.0,-3.0873139369365865,0.7769871625303271
6,-0.2627506778023363,20.0,-2.858135108278461,2.2917882865812533
7,-0.2534416059289682,9.02970567354502,-2.7684516510592374,0.8968345721922377
8,-0.5760920783154744,8.742454658640577,-2.8123223402269946,-0.4387068916775716
9,-0.9430447535084038,0.0,-2.883173752889312,-0.7085141266231743
10,-0.9883255581637477,0.0,-2.891322831748996,-0.0814907885968363
11,-1.1809307566454976,7.241842500000018,-3.0610054684827057,-1.696826367337101
12,-1.7316622381201918,4.584630000000004,-3.398999386375068,-3.379939178923621
13,-2.159882992480363,4.344603439670469,-3.857128288955055,-4.581289025799871
14,-1.7847580511601369,7.021660702844054,-4.0276200057848,-1.7049171682974509
15,-0.9813336508721859,0.1942537499999588,-4.029019759843227,-0.013997540584274
16,-0.5352433007174965,0.1942537500000014,-4.034498886020505,-0.0547912617727774
17,-0.47444933623341695,5.0612023494739455,-3.927841174189242,1.0665771183126305
18,-0.8507024511149314,6.1017389703243605,-3.849608362404792,0.7823281178445063
19,-1.3983718148882198,9.501281142374951,-3.6499960462320513,1.996123161727401
20,-1.7132252460254234,2.048931359575044,-3.615967990398816,0.3402805583323509
21,-1.5140459012139098,1.8356249999999985,-3.6104571379027393,0.0551085249607696
22,-0.9949525088980786,2.999562500000001,-3.580527793349252,0.2992934455348717
23,-0.5224225235753441,3.0213963364694845,-3.36524190556283,2.1528588778642144
24,-0.36568146498568926,2.710418559354653,-3.119424705054813,2.4581720050801747
25,-0.4956324692430683,0.5476999999999776,-2.9099309529055994,2.0949375214921373
26,-0.6866778277539877,0.6123637500000001,-2.6977302883105714,2.1220066459502807
27,-0.5446459542215161,3.156915311550983,-2.57701395483046,1.2071633348011137
28,-0.6325866134167693,3.1707083819432125,-2.4110107754442898,1.6600317938617026
29,-1.050467085023198,3.1707083819432427,-2.2659054029177965,1.4510537252649325
30,-1.2380544840110712,3.1707083819432125,-2.1770218501985146,0.8888355271928194
31,-0.9872026420292415,6.638029353791331,-2.2399053133155524,-0.6288346311703785
32,-0.18002340841363645,6.776139591612976,-2.462432968814098,-2.225276554985456
33,0.45546600733796283,6.712500358721043,-2.726462922134722,-2.6402995332062407
34,0.2682498260090285,7.483717444206227,-2.986572472087271,-2.601095499525488
35,-0.9843224434123332,4.65628224484696,-3.003491431658236,-0.1691895957096489
36,-2.0346934343524494,5.46598260254232,-2.988455073163342,0.1503635849489359
37,-2.40021762670765,5.985252956534835,-2.7899278784747086,1.985271946886336
38,-1.955448684325408,0.0,-2.882680035400887,-0.9275215692617822
39,-1.6934127738060605,0.0,-2.882680035400887,0.0
40,-2.2404447548753206,1.9330705119721416,-2.799809326912166,0.828707084887208
41,-2.392862140107373,1.1057100000000002,-2.6594772760129675,1.4033205089919851
42,-2.1558557001481566,1.1057100000000002,-2.535375009981192,1.2410226603177543
43,-1.8888446667858514,3.8361179044852673,-2.455620863467257,0.7975414651393509
44,-1.6012875665214552,6.902350286577216,-2.473578924118885,-0.1795806065162786
45,-1.5023350500018666,3.229927125269528,-2.4860249220414383,-0.1244599792255352
46,-1.4032940424893976,1.286246858441962,-2.5187540397385035,-0.3272911769706521
47,-1.4467096738014789,0.8934307499999985,-2.5294732104168904,-0.107191706783869
48,-1.434260870833337,3.20233425,-2.745791038182983,-2.1631782776609265
49,-1.3464111394132434,6.177347232945492,-2.49107020000522,2.5472083817776348
50,-1.5536073867296494,3.20233425,-2.2257656157429317,2.653045842622883
