,frame,speed,heading,angular_velocity
0,0,,-3.0372334775388663,
1,1,0.03172999999999604,-3.0374808555220962,-0.00247377983229935
2,2,0.03919110116547101,-3.025354015934088,0.12126839588008309
3,3,0.0,-3.0224249493476005,0.029290665864873944
4,4,0.0,-3.0266822264717463,-0.042572771241458085
5,5,0.0519057554347334,-3.0260013492495506,0.0068087722219578595
6,6,0.054425557677438396,-3.026106427660988,-0.0010507841143736485
7,7,0.005423371737216804,-3.027984735312372,-0.018783076513839703
8,8,0.0,-3.025281191231362,0.02703544081009923
9,9,0.0,-3.0087248571555962,0.16556334075765733
10,10,2.3994859064219347,-2.73457640852,2.7414844863559606
11,11,2.370567213911205,-2.61442944280333,1.2014696571667027
12,12,1.173234999999977,-2.5363407465723324,0.7808869623099746
13,13,0.0,-2.5259397211067873,0.1040102546554511
14,14,0.7613622499999995,-2.563005507005608,-0.37065785898820813
15,15,0.9164297631290583,-2.601593800967391,-0.3858829396178276
16,16,0.0,-2.641336462510166,-0.3974266154277517
17,17,0.0,-2.652835184586311,-0.11498722076145107
18,18,0.018999374999992824,-2.6561677777515658,-0.033325931652545826
19,19,0.018999374999992824,-2.661892873664814,-0.05725095913248435
20,20,0.18309278017003164,-2.66849380817431,-0.06600934509495726
21,21,0.21098521268399165,-2.6783695373297305,-0.09875729155420565
22,22,0.025443237044699203,-2.6801685280492946,-0.017989907195641308
23,23,0.07335000000000491,-2.69180011932697,-0.11631591277675213
24,24,0.12601471576367926,-2.699544487879902,-0.07744368552932368
25,25,0.07335000000000491,-2.70172628021899,-0.021817923390878846
26,26,0.04979999999999052,-2.703723017595454,-0.019967373764639973
27,27,0.0,-2.6830820480769626,0.2064096951849148
28,28,0.0,-2.662796388845832,0.2028565923113046
29,29,0.610612388383376,-2.629045896995046,0.3375049185078627
30,30,1.0217475,-2.61273887915988,0.16307017835166082
31,31,1.0217475,-2.5987185236414803,0.1402035551839953
32,32,0.1094150000000127,-2.7444298026439973,-1.4571127900251701
33,33,0.1094150000000127,-2.828844232529074,-0.8441442988507664
34,34,2.5025373463446945,-2.931001454725359,-1.0215722219628498
35,35,0.25424931362063236,-2.9549697893916846,-0.23968334666325752
36,36,0.0,-2.952131687624775,0.028381017669096842
37,37,0.0,-2.9493099632044415,0.0282172442033346
38,38,0.25424931362063236,-2.955847031599878,-0.06537068395436663
39,39,2.94182281895926,-2.876714766588925,0.7913226501095316
40,40,0.0,-2.876606948997454,0.0010781759147082681
41,41,0.3659707422289392,-2.8863487633760454,-0.09741814378591229
42,42,0.0,-2.8863487633760454,0.0
43,43,0.034777500000018335,-2.8870123025700654,-0.006635391940199575
44,44,0.07496330415777548,-2.8888512482024686,-0.01838945632403277
45,45,0.034777500000018335,-2.88657931581801,0.022719323844584416
46,46,0.06984374999998977,-2.886521508957358,0.0005780686065204321
47,47,0.06997215619320817,-2.887436585949411,-0.009150769920527324
48,48,0.06984374999998977,-2.887639781551977,-0.0020319560256609748
49,49,0.0,-2.885870963438894,0.017688181130828262
50,50,0.17875646858925073,-2.8948429743175614,-0.0897201087866728
51,51,3.0148710445952576,-2.963501559159397,-0.6865858484183551
52,52,0.3371921850462601,-2.968370794998809,-0.04869235839412234
53,53,0.9915498846660564,-3.062561876226331,-0.9419108122752196
54,54,0.9905849999999674,-3.0902804887241166,-0.2771861249778551
55,55,0.4291249999999849,-3.091422503704839,-0.011420149807221947
56,56,0.08611599999999875,-3.0917917816519784,-0.0036927794713959017
57,57,0.17358099999999688,-3.0780027283524456,0.13789053299532839
58,58,0.3300601406728717,-3.0659180911803796,0.12084637172065982
59,59,0.3327146408876455,-2.9420179712403707,1.2390011994000893
60,60,0.33271464088766195,-2.8958412756748038,0.46176695565566916
61,61,0.3327146408876455,-2.8808338695578732,0.15007406116930522
62,62,0.0,-2.8871603238081516,-0.06326454250278335
63,63,2.791836579849023,-2.859789793611663,0.27370530196488385
64,64,0.0,-2.8589530172770456,0.008367763346175394
65,65,0.3726579282076922,-2.871613863303518,-0.12660846026472328
66,66,0.0,-2.868014744050454,0.03599119253063776
67,67,0.24109134978375704,-2.8603449987776868,0.07669745272767425
68,68,0.24109134978375704,-2.868014744050454,-0.07669745272767425
