,slope,area,posArea,negarea,intercept,condition
0,-0.4716292134353878,125.12934191833831,138.28120290401355,-13.151860985675302,5.611060732266917,Mani
1,-0.23384087363070682,-78.74613918762932,3.1769482624805665,-81.92308745010988,1.3741769635851657,Mani
2,-0.3948223330421201,59.77763836648351,83.94434150090748,-24.166703134423972,4.247536519458958,Mani
3,-0.39760622699791515,61.32723981588079,85.2695043041458,-23.942264488265003,4.288767008251412,Mani
4,-0.4150969599463916,76.30093554525648,97.2260175025439,-20.92508195728744,4.600189297196254,Mani
5,-0.36829681329967934,35.14276673527894,65.45628092588393,-30.31351419060499,3.7559843877493027,Mani
6,-0.4358101571575077,97.88807365182045,114.5830270510168,-16.694953399196336,5.007534653108976,Mani
7,-0.322369902397432,-0.789823842904612,40.06088862501007,-40.85071246791468,2.972107501581794,Mani
8,-0.41135159095855023,74.46351925452151,95.56746469894341,-21.103945444421875,4.547192730028391,Mani
9,-0.48307561625061196,133.6769048103231,145.8799966114945,-12.203091801171382,5.802347560799909,Mani
10,-0.30279167546823327,-17.381052884272304,29.803985142927857,-47.185038027200164,2.6252129662551944,Mani
11,-0.3717091725346931,39.31255920653551,68.3705464591817,-29.057987252646164,3.8292263555989456,Mani
12,-0.40844133601323523,69.95540042852775,92.20210301158221,-22.24670258305443,4.475208979285305,Mani
13,-0.2886598710340249,-6.97402355764934,32.81986935765677,-39.79389291530611,2.59864805438142,eYFP
14,-0.41429930380620156,102.57798273124143,115.92784541596201,-13.349862684720573,4.855586190261546,eYFP
15,-0.21678738536887404,-66.44940554760757,4.122457849023038,-70.57186339663059,1.3395008831231703,eYFP
16,-0.36217990355712826,59.886009869362894,80.32226212783634,-20.436252258473438,3.946871757009695,eYFP
17,-0.3977604806647082,90.04632267502481,105.08833005891573,-15.042007383890919,4.577383766525005,eYFP
18,-0.3816358266716364,77.48423927485766,94.46940317243237,-16.98516389757473,4.302705712548118,eYFP
19,-0.3999860542676651,90.97081473493893,105.98340803276638,-15.012593297827465,4.607202016278961,eYFP
20,-0.2927887710624111,0.15217373337820517,36.81960428644403,-36.66743055306582,2.708077814337003,eYFP
21,-0.4609302001092879,144.21767269082764,152.42534023607544,-8.207667545247809,5.703041751387575,eYFP
22,-0.44072113084833653,126.24284465371274,136.4344246445624,-10.191579990849657,5.336479683655886,eYFP
23,-0.4142934873077253,103.73019246131341,116.79145525754892,-13.061262796235496,4.867054519519042,eYFP
24,-0.3728839696131182,65.17521614311792,85.05294746218958,-19.877731319071646,4.098712816074389,eYFP
