,frame,speed,heading,angular_velocity,XCor,YCor
0,0,,-1.5633091938945147,,33.181881374999996,11.76692025
1,1,0.0,-1.5633091938945147,0.0,33.181881374999996,11.76692025
2,2,1.3781287500000161,-1.7952011341409588,-2.318919402464441,33.181881374999996,11.904733125000002
3,3,0.2926111883380454,-2.0915160327876503,-2.9631489864669147,33.163312499999996,11.927347499999998
4,4,1.902345305815,-2.3470105733743196,-2.554945405866693,32.982007499999995,11.984946749999999
5,5,0.5759925000000194,-2.7069719374516157,-3.5996136407729606,32.982007499999995,12.042546
6,6,0.03372374999997163,-2.7699562660067882,-0.6298432855517255,32.982007499999995,12.045918374999998
7,7,1.701445062976353,-2.8251964464096817,-0.5524018040289347,33.104032499999995,12.164489249999999
8,8,0.0,-2.82507142348639,0.0012502292329186204,33.104032499999995,12.164489249999999
9,9,0.0,-2.824946390375786,0.00125033110603745,33.104032499999995,12.164489249999999
10,10,0.41422193278671715,-2.8034226937192557,0.21523696656530422,33.062640374999994,12.162911249999999
11,11,0.4398670108129966,-2.7809305239583146,0.2249216976094104,33.018784499999995,12.15952125
12,12,1.5910424999999933,-2.8132048257896005,-0.3227430183128588,33.018784499999995,12.000416999999999
13,13,1.5910424999999933,-2.8581086177599024,-0.4490379197030192,33.018784499999995,11.84131275
14,14,0.37153500000005124,-2.879870032777162,-0.21761415017259367,33.055938000000005,11.84131275
15,15,1.341719999999981,-2.9579039400522555,-0.7803390727509374,33.19011,11.84131275
16,16,4.811913479633952,-3.128462584327069,-1.7055864427481326,33.63249375,12.030631875
17,17,5.098203403427536,-3.5858932293961963,-4.5743064506912745,34.0748775,12.284035499999998
18,18,8.438068985058509,-3.599587565359368,-0.136943359631716,34.29041775,13.0998495
19,19,12.896436644962789,-3.43489345718074,1.6469410817862773,34.39520325,14.385229124999999
20,20,12.853796250000002,-3.2578566175990744,1.7703683958166572,34.39520325,15.67060875
21,21,18.96695470156402,-3.2576865491003444,0.0017006849873002494,34.49998875,17.5644075
22,22,17.60106737731054,-3.2125311010306685,0.45155448069675863,34.52290875,19.324365
23,23,16.376954999999995,-3.244385568462108,-0.3185446743143938,34.52290875,20.9620605
24,24,14.670689108077285,-3.318575840729872,-0.7419027226776409,34.585636875,22.42778775
25,25,1.2790330662323526,-3.3743206492373994,-0.5574480850752739,34.68092025,22.513112625
26,26,0.8666441689652751,-3.3955794039126777,-0.21258754675278269,34.69609875,22.5984375
27,27,0.0,-3.445887996110225,-0.5030859219754724,34.69609875,22.5984375
28,28,0.6555411255596434,-3.570093022106731,-1.2420502599650618,34.71034675,22.6624245
29,29,0.6398700000000019,-3.633334227685692,-0.6324120557896107,34.71034675,22.7264115
30,30,0.6398700000000019,-3.687985804604691,-0.5465157691899902,34.71034675,22.7903985
31,31,12.127221069882411,-3.745443228409308,-0.5745742380461705,34.40955374999999,23.9652255
32,32,12.201023422033076,-3.66905972052825,0.7638350788105841,34.08026475,25.140052499999996
33,33,1.0738090201693464,-3.6482036166727045,0.2085610385554526,33.97989285,25.1782119
34,34,1.0738090201692916,-3.6241483350215606,0.240552816511439,33.87952095,25.2163713
35,35,1.0738090201693464,-3.609777298000078,0.14371037021482458,33.779149049999994,25.2545307
36,36,1.0738090201692916,-3.584604592081373,0.2517270591870524,33.67877715,25.292690099999998
37,37,1.0738090201693464,-3.5631924237481316,0.21412168333241333,33.578405249999996,25.3308495
38,38,2.795252307320631,-3.457267406961097,1.0592501678703448,33.345094499999995,25.484799
39,39,2.795252307320595,-3.3541228065660125,1.0314460039508466,33.11178375,25.6387485
40,40,2.795252307320631,-3.5706558164224553,-2.1653300985644286,32.878473,25.792698
41,41,0.7060224999999747,-3.7454408302441657,-1.747850138217104,32.80787075,25.792698
42,42,0.0,-3.832113379194649,-0.8667254895048337,32.80787075,25.792698
43,43,0.8811199999999957,-3.893239496043833,-0.611261168491839,32.80787075,25.704586
44,44,1.4583194587820913,-3.9272778318685635,-0.3403833582473048,32.889225,25.58355525
45,45,2.2422124952892504,-4.030102424636077,-1.0282459276751332,33.0681995,25.4484875
46,46,2.2422124952892504,-4.171161058210224,-1.4105863357414705,33.247174,25.31341975
47,47,1.6037504733611923,-4.34993866248573,-1.7877760427550626,33.398964,25.2616515
48,48,0.4164974999999771,-4.329302968408761,0.20635694076968747,33.398964,25.22000175
49,49,0.4164975000000197,-4.333919744639802,-0.04616776231040731,33.398964,25.178352
50,50,1.8561696620493853,-4.29529712073802,0.3862262390178195,33.32863575,25.00657425
51,51,1.5177430121277142,-4.272219688696842,0.23077432041177737,33.2583075,24.8720775
52,52,0.20389487861395122,-4.23889487953522,0.33324809161622504,33.2439825,24.857567999999997
53,53,0.20389487861398117,-4.205764494590516,0.3313038494470355,33.229657499999995,24.843058499999998
54,54,0.6544987499999877,-4.1518567518717235,0.5390774271879284,33.164207624999996,24.843058499999998
55,55,0.13045125000002145,-3.963803037149293,1.880537147224306,33.1511625,24.843058499999998
56,56,0.1286183541832294,-3.9542423700990517,0.09560667050241278,33.151115624999996,24.83019675
57,57,0.10214357558266862,-3.9459889818798715,0.08253388219180202,33.15106875,24.819982500000002
58,58,0.00046874999996759925,-3.938103776798394,0.07885205081477498,33.151115624999996,24.819982500000002
59,59,0.0004687500000102318,-3.9294098912807836,0.08693885517610411,33.1511625,24.819982500000002
60,60,0.2825026529189584,-3.926477406606023,0.029324846747607047,33.168397500000005,24.842366249999998
61,61,0.17921166023029353,-3.912910129876571,0.13567276729451905,33.18572625,24.846936
62,62,0.0,-3.9117188368496945,0.011912930268764832,33.18572625,24.846936
63,63,0.0,-3.9069296931593707,0.04789143690323794,33.18572625,24.846936
64,64,0.015344999999967968,-3.899418334367193,0.07511358792177791,33.18726075,24.846936
65,65,0.0153450000000106,-3.8896354081553866,0.0978292621180632,33.18879525,24.846936
66,66,1.2385423416163615,-3.65176064048699,2.3787476766839655,33.29440725,24.911635124999997
67,67,0.9210787500000208,-3.4875784601941002,1.6418218029288978,33.29440725,25.003743
68,68,0.24991499999998723,-3.5033886001170815,-0.15810139922981303,33.29440725,25.0287345
