,frame,speed,heading,angular_velocity,XCor,YCor
0,0,,-2.4795833,,30.786673,5.957373
1,1,0.0,-2.478446,0.011372566223144531,30.786673,5.957373
2,2,0.0,-2.4800947,-0.016486644744873047,30.786673,5.957373
3,3,0.7115707397460938,-2.5545056,-0.7441091537475586,30.715515,5.957373
4,4,0.0,-2.579988,-0.254824161529541,30.715515,5.957373
5,5,0.1426105499267578,-2.6154084,-0.3542041778564453,30.715515,5.9716344
6,6,0.05621337890625,-2.6551914,-0.3978300094604492,30.721136,5.9716344
7,7,0.05621337890625,-2.7093544,-0.5416297912597656,30.726757,5.9716344
8,8,0.34299659729003906,-2.7103734,-0.010190010070800781,30.726757,5.9373345
9,9,0.0,-2.7270153,-0.16641855239868164,30.726757,5.9373345
10,10,0.15493011474609375,-2.8815532,-1.5453791618347168,30.74225,5.9373345
11,11,0.45078810453414914,-3.0887043,-2.071511745452881,30.751589,5.9814353
12,12,0.757827615737915,-3.16462,-0.7591557502746582,30.677408,5.996936
13,13,0.12746429443359375,-3.2052755,-0.4065561294555664,30.664661,5.996936
14,14,0.15500450134277344,-3.2193584,-0.14082908630371094,30.664661,5.9814353
15,15,0.7942171812057495,-3.2190247,0.003337860107421875,30.65225,5.90299
16,16,0.0,-3.2329855,-0.13960838317871094,30.65225,5.90299
17,17,0.26691963672637936,-3.2338884,-0.009028911590576172,30.634848,5.88275
18,18,0.2416648507118225,-3.2433465,-0.09458065032958984,30.617592,5.865831
19,19,0.0,-3.2434745,-0.0012803077697753906,30.617592,5.865831
20,20,0.0,-3.2557173,-0.12242794036865234,30.617592,5.865831
21,21,0.0023345947265625,-3.251004,0.04713296890258789,30.61736,5.865831
22,22,0.330360209941864,-3.2787106,-0.2770662307739258,30.596722,5.891627
23,23,0.2052154541015625,-3.2585592,0.20151376724243164,30.617243,5.891627
24,24,0.00116729736328125,-3.2618778,-0.033185482025146484,30.61736,5.891627
25,25,0.0,-3.2556865,0.06191253662109375,30.61736,5.891627
26,26,0.4013214111328125,-3.2291918,0.26494741439819336,30.657492,5.891627
27,27,0.8990784645080566,-3.1798494,0.4934239387512207,30.745703,5.8742423
28,28,0.02570343017578125,-3.185476,-0.05626678466796875,30.745703,5.8716717
29,29,0.49090468883514404,-3.191977,-0.06500959396362305,30.75253,5.920285
30,30,0.11967324614524841,-3.1912222,0.007548332214355469,30.752605,5.9322524
31,31,0.0816390037536621,-3.18938,0.018422603607177734,30.751173,5.924215
32,32,0.0,-3.1961436,-0.06763696670532227,30.751173,5.924215
33,33,0.0816390037536621,-3.192231,0.03912687301635742,30.752605,5.9322524
34,34,0.5024587512016296,-3.1929443,-0.00713348388671875,30.775639,5.976908
35,35,0.0,-3.1762602,0.1668405532836914,30.775639,5.976908
36,36,2.6942293167114255,-3.1426282,0.3363204002380371,30.910307,6.2102594
37,37,2.1521072387695312,-3.057862,0.8476614952087402,31.125519,6.2102594
38,38,0.0,-3.0733871,-0.15525102615356445,31.125519,6.2102594
39,39,0.42475823163986204,-3.049123,0.24264097213745117,31.157671,6.182504
40,40,0.27692413330078125,-3.038208,0.10915040969848633,31.185364,6.182504
41,41,0.0,-3.0035863,0.34621715545654297,31.185364,6.182504
42,42,0.04848609566688537,-2.94918,0.5440640449523926,31.180674,6.183735
43,43,0.0,-2.9185276,0.30652284622192383,31.180674,6.183735
44,44,0.04689788818359375,-2.8864477,0.3207993507385254,31.175983,6.183735
45,45,2.028365421295166,-2.8852699,0.011777877807617188,31.065153,6.0138555
46,46,0.36426544189453125,-2.9073305,-0.22060632705688477,31.028727,6.0138555
47,47,0.37204742431640625,-2.9279013,-0.20570755004882812,30.991522,6.0138555
48,48,0.3724336624145508,-3.0205941,-0.9269285202026367,30.954319,6.0156007
49,49,0.36374330520629883,-3.0405157,-0.19921541213989258,30.925293,6.037522
50,50,0.31966177225112913,-3.0520802,-0.11564493179321289,30.902027,6.059443
51,51,0.0,-3.0156248,0.36455392837524414,30.902027,6.059443
52,52,0.21921157836914062,-2.9661016,0.49523115158081055,30.902027,6.037522
53,53,1.7813944816589355,-2.8659995,1.0010218620300293,31.07893,6.058476
54,54,0.6800080060958862,-2.7988038,0.6719565391540527,31.146923,6.059443
55,55,0.9638162612915039,-2.8258307,-0.27026891708374023,31.15652,6.155346
56,56,0.0,-2.8152547,0.10576009750366211,31.15652,6.155346
57,57,0.0,-2.8482113,-0.32956600189208984,31.15652,6.155346
58,58,1.489994716644287,-2.9288936,-0.8068227767944336,31.007639,6.161292
59,59,0.07192611694335938,-2.9357681,-0.06874561309814453,31.007639,6.1684847
60,60,0.0,-2.9401367,-0.0436854362487793,31.007639,6.1684847
61,61,0.7884277582168578,-2.9064102,0.3372645378112793,31.086443,6.1709566
62,62,0.0863800048828125,-2.9070098,-0.005996227264404297,31.095081,6.1709566
63,63,0.0,-2.9060154,0.009944438934326172,31.095081,6.1709566
64,64,0.9825375080108643,-2.8835006,0.22514820098876953,31.086443,6.0730834
