,frame,speed,heading,angular_velocity,XCor,YCor
0,0,,-2.934392,,14.344376,29.509947
1,1,0.0,-2.934392,0.0,14.344376,29.509947
2,2,4.242715072631836,-2.878346,0.560460090637207,14.540899,29.885958
3,3,1.8797980785369872,-2.894219,-0.15872955322265625,14.725143,29.923248
4,4,1.8797980785369872,-2.8780918,0.1612710952758789,14.909388,29.960537
5,5,6.078741073608398,-2.831889,0.46202898025512695,15.395182,30.325933
6,6,3.6843978881835935,-2.8700721,-0.3818321228027344,15.691832,30.544445
7,7,0.6681632995605469,-2.897314,-0.27241945266723633,15.758648,30.544445
8,8,1.1453933715820312,-2.9122722,-0.1495814323425293,15.873187,30.544445
9,9,1.0371254682540894,-2.8756754,0.3659677505493164,15.944772,30.469398
10,10,0.8467899084091186,-2.7871423,0.8853316307067871,15.873187,30.424164
11,11,0.0,-2.7315686,0.5557370185852051,15.873187,30.424164
12,12,1.231466817855835,-2.7276022,0.03966331481933594,15.987725,30.469398
13,13,0.4728912591934204,-2.722615,0.049872398376464844,16.020094,30.503872
14,14,1.419343614578247,-2.7507017,-0.2808666229248047,16.137533,30.58358
15,15,0.0377655029296875,-2.8259661,-0.7526445388793945,16.137533,30.587357
16,16,0.0,-2.8247483,0.012178421020507812,16.137533,30.587357
17,17,0.3523512840270996,-2.810115,0.146331787109375,16.106546,30.604128
18,18,0.019500732421875,-2.8005846,0.0953054428100586,16.106546,30.606077
19,19,0.08069227337837219,-2.7974174,0.03167152404785156,16.098715,30.604128
20,20,0.15877532958984375,-2.8014245,-0.04007101058959961,16.098715,30.58825
21,21,0.20174088478088378,-2.8177001,-0.16275644302368164,16.11704,30.59669
22,22,0.08438873291015625,-2.818637,-0.00936746597290039,16.11704,30.58825
23,23,0.2664263606071472,-2.817014,0.01622915267944336,16.091768,30.579811
24,24,0.16875872611999512,-2.8115861,0.05427837371826172,16.107716,30.585331
25,25,0.16299351453781127,-2.7958212,0.15764951705932617,16.091768,30.581963
26,26,0.0,-2.7967074,-0.008862018585205078,16.091768,30.581963
27,27,0.16078371405601502,-2.7995832,-0.02875804901123047,16.107716,30.584011
28,28,0.0,-2.8009076,-0.013244152069091797,16.107716,30.584011
29,29,0.0631528303027153,-2.8050528,-0.041451454162597656,16.101742,30.581963
30,30,0.15481508374214173,-2.8076665,-0.026137828826904297,16.117088,30.584011
31,31,0.16401618719100952,-2.805361,0.023055076599121094,16.101742,30.57822
32,32,0.40278843641281126,-2.803188,0.021729469299316406,16.06509,30.561516
33,33,0.3969990849494934,-2.798664,0.045239925384521484,16.101742,30.57677
34,34,0.3922116994857788,-2.7971613,0.015027523040771484,16.06509,30.562809
35,35,0.23681341409683226,-2.794428,0.027332305908203125,16.041838,30.558321
36,36,0.0,-2.7737622,0.20665884017944336,16.041838,30.558321
37,37,2.9181169509887694,-2.7732658,0.004963874816894531,15.778574,30.432442
38,38,2.0787676334381104,-2.7195592,0.5370664596557617,15.570728,30.428825
39,39,0.19311904907226562,-2.7069798,0.1257944107055664,15.551416,30.428825
40,40,0.19510778188705444,-2.6883645,0.18615245819091797,15.5321045,30.426046
41,41,0.0,-2.6577408,0.30623674392700195,15.5321045,30.426046
42,42,2.622647953033447,-2.646867,0.10873794555664062,15.443424,30.17923
43,43,0.4888797640800476,-2.5409062,1.0596084594726562,15.395513,30.169508
44,44,0.30072784423828125,-2.5535395,-0.12633323669433594,15.395513,30.139435
45,45,0.47911834716796875,-2.557514,-0.03974437713623047,15.443424,30.139435
46,46,0.41703057289123535,-2.541401,0.16113042831420898,15.4559,30.17923
47,47,0.3678131103515625,-2.5568087,-0.15407800674438477,15.4559,30.142448
48,48,0.6816917181015014,-2.5493524,0.07456302642822266,15.469028,30.209341
49,49,0.075164794921875,-2.5586953,-0.0934290885925293,15.476545,30.209341
50,50,0.35710848569869996,-2.5735278,-0.14832496643066406,15.462204,30.176636
51,51,0.0,-2.559866,0.13661861419677734,15.462204,30.176636
52,52,0.0,-2.5553377,0.045282840728759766,15.462204,30.176636
